Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
42500	565	852	250	0	20	0	0	1450836	116	74	12	24	4	655873	0	1508203	10	876404	0	834782	1296819
42750	501	572	276	116	2	0	38	1447699	165	57	22	0	43	725406	12	1423401	6	877827	8	832549	1248335
43000	550	829	450	12	0	0	38	1456877	116	43	0	0	21	666945	0	1424219	51	886488	0	856046	1315969
43250	504	788	352	14	43	0	25	1463268	195	86	0	0	53	664227	0	1432468	25	890765	0	827571	1314218
43500	727	660	250	3	113	0	0	1478826	132	63	20	0	21	689812	0	1434107	91	929232	0	855857	1312980
43750	614	498	265	0	2	19	0	1471721	121	46	12	0	7	707647	15	1463752	10	908562	0	860228	1343809
44000	492	549	359	2	20	0	16	1480521	130	45	0	0	108	696236	0	1473843	7	1000074	0	840574	1325885
44250	438	849	250	2	2	0	0	1499157	181	109	0	0	3	712072	0	1476273	6	993923	0	861083	1339095
44500	823	624	263	12	17	0	0	1514717	108	52	0	0	6	725673	12	1484470	98	955665	0	840518	1330205
44750	528	532	251	40	1	0	8	1640044	154	136	24	0	5	741996	0	1469163	24	1003478	0	892595	1354122
45000	504	562	340	14	2	0	14	1536453	113	49	0	0	6	692876	0	1502730	6	943135	0	874263	1359953
45250	570	866	265	94	13	0	0	1531171	118	224	12	0	82	740582	0	1481614	57	998540	0	880808	1376279
45500	455	528	277	27	2	0	0	1547427	132	109	24	0	11	740301	30	1516806	9	998081	0	896801	1368939
45750	522	531	293	0	39	0	0	1535161	153	40	0	0	3	743296	0	1500678	7	983595	12	925270	1353623
46000	657	873	0	1	4	0	0	1616028	171	268	0	0	2	752209	0	1512077	24	964922	0	910365	1503706
46250	774	561	225	0	21	0	0	1576256	125	203	0	0	3	765043	0	1495432	8	962312	12	910508	1331906
46500	500	508	266	27	33	0	0	1571169	188	57	0	0	6	762628	0	1543338	8	985127	0	920988	1405802
46750	490	496	262	56	5	0	0	1586996	209	87	0	12	6	782007	0	1526033	6	996762	0	922205	1408431
47000	528	535	305	0	1	0	90	1586057	251	70	0	0	6	763024	29	1565776	104	1030988	0	918297	1429568
47250	577	523	291	37	3	0	0	1612478	180	62	0	0	4	798846	0	1547302	19	988626	0	948405	1432256
47500	540	507	301	14	2	0	0	1594354	149	50	0	14	6	777662	0	1575162	89	979302	0	952904	1444333
